1XmxjvffEdin5rfVM4hwR58tTuFM1afcB	mathematics	math-endsem-december2025.pdf
1uEZHbZpmuu-WO4sd13UeQq1pQdaSZCP9	mathematics	math-mst1-semA.pdf
1EvHcvJam4lBkjCWjwg_WBPIrlI0xuNaj	mathematics	math-mst2-semA.pdf
1SO_kiV8tGdW7szXqrgRBlfjdImpEUrWq	mathematics	differential-equations-1.pdf
1qkKkBDD3PPBshhfJGwfJqakJ6s4AK1iK	mathematics	indian-mathematicians-unit1.pdf
1l1THyU2Jfm0smoaDUYQnnuH0hZ_RXrA5	mathematics	beta-gamma-functions.pdf
11VgU6xc6cLjlQEtO-HIOanjqoTjlyjJo	mathematics	differential-equations-2.pdf
1EHbZv_WX3UpOEXUlbwU3eYb5dxdayldn	mathematics	double-integrals.pdf
1SE0t39fkYN30hT3E4N1DOUbdv3vFKR_N	mathematics	fuzzy-sets.pdf
1MXVCF_kbALUPBv4ItVQ3VJS_Fq6coaEC	mathematics	matrices-semA.pdf
1zJBAm3_k8WMq5o9qhg32qoVqNllgZ2nG	mathematics	maxima-minima-jacobian-taylor.pdf
1kob8shgBk8jwu6o-eatzgf50HO5P_w6v	mechanical-workshop	unit2-theory-of-machines-slides.pdf
1uCD6R43TyyfGweJjXrakVA4ZN2hHqTVm	mechanical-workshop	unit1-mechanical-properties-slides.pdf
1xZIIkSAB6B3gGpSKY3vboic2sfbGwkRs	mechanical-workshop	unit3-fluid-kinematics-slides.pdf
1bnHbAitjVAHdCGOP2tf5my2UX-yzUGJQ	mechanical-workshop	unit4-ic-engines-automobiles-slides.pdf
16p-AOKpm6sSw9J-6Rkd0FSi833VYv16W	mechanical-workshop	mechanical-endsem-2025.pdf
1pE_sd5KhGBhy2I1fB4V0LglTzWP8DLQD	mechanical-workshop	mechanical-mst1-semA.pdf
1xtoPjGCb-9XhxXb4H_1Gg-jNKt0H9cAy	mechanical-workshop	mechanical-mst2-semA.pdf
16PBq06lGGJuGzNBXb-vdgwsUYslSEe7M	mechanical-workshop	fluid-kinematics-notes.pdf
1-RpMlhN7XB-YhFUUcxNBI44xdw5B2hFo	mechanical-workshop	properties-of-materials-notes.pdf
1HQyeYyOWU6j_3VwoQE-fGC5j8Jffkbmg	mechanical-workshop	theory-of-machines-notes.pdf
1E8I7ZRXrklXNVMTxCrmwOQ6UDr1KK_8C	mechanical-workshop	fluid-kinematics-question-bank.pdf
1sZhpSOPQ8m4AlM9tnSN81z7Rt38XsJJD	mechanical-workshop	ic-engine-automobiles-question-bank.pdf
1RaHI2oQ_nx5_WwQrfPJ1-GrCJ06jiGjz	mechanical-workshop	mechanical-properties-question-bank.pdf
1yObzZnfoO1iy1PlUAQTgrSbf6gTGRa00	mechanical-workshop	mechanical-sample-paper-2.pdf
1YxCk_WXRPNYlxIxWD3epSHwOgrhWqLKG	mechanical-workshop	mechanical-sample-paper-3.pdf
1hpRy94PNtteQ1HyKVU4vZAewNM9fGLvg	mechanical-workshop	mechanical-sample-paper-4.pdf
1fp17rdFryh2n5CVs6KQ4EiEpsXw1vAHF	mechanical-workshop	mechanical-sample-paper-5.pdf
1ByQnpBnn1Vd-zEM2T05t1wcXDT0xPCye	mechanical-workshop	mechanical-sample-paper-1.pdf
1TFt_XPuPJbgg4WitjIgI9eYMgg6UYkUh	physics	physics-endsem-1-2025.pdf
1-L0WtbQUS8IqyZLbtKe1BQxl2BXISP2N	physics	physics-mst2-semA.pdf
1-Tna7071wBBpRzy2JMkyCQTtDJl1sQ4O	physics	fibre-optics-notes-v1.pdf
1nGXAWuQNF2vvYakeLtAqDXE_fRskfyAn	physics	laser-notes.pdf
1xVTVf2xrgw0LbGrjHtFHUtm-pKnWNBiT	physics	quantum-theory-notes-v1.pdf
1subPR0LyqenEUr8AE4MDHBb8RC4Q8Np-	physics	special-theory-of-relativity.pdf
14-7Cn5J21gPteo4T_-mbtx8AVeQT08QH	physics	physics-full-notes.pdf
1THjQE2oDzRxTmwoUU3yV4X_OogVX-9Oe	physics	physics-1st-year-complete-v2.pdf
1J2lP92F6yGtokBJXtqaQSz1bHL1KsqEn	physics	fiber-optics-slides.pdf
18bJHlUXEH2hsEGNpmDsqwb9Cl-xKgE6F	physics	quantum-computing-notes.pdf
1Sxp1zRE52hP6IPktOw6nZMX5EnuhRZ8o	physics	quantum-computing-slides.pptx
1GC-eu4oua78h83rcui5Gw2eB5J-I0bl6	physics	quantum-theory-slides.pdf
1aam2wv0w2KmaE62YHF9DmAE9XZnsdrT1	physics	physics-sample-papers-4sets.pdf
19aWNhO5_rrEJSyVUFvwt0ortTlAfsIwC	general	semA-syllabus.pdf
